"Ship_1A:defRanged","Ship_1B:atkRanged",fitness
2,3,2.0
5,4,2.0
3,10,2.5
5,3,1.5
3,10,3.0
5,4,3.0
5,4,3.0
3,2,2.5
5,4,3.0
3,4,3.0
4,7,1.5
5,0,2.5
8,10,1.5
10,6,2.0
5,10,1.5
0,6,1.5
5,9,2.0
1,10,2.5
7,3,2.0
5,4,2.0
5,6,3.0
1,5,2.5
0,10,3.5
4,4,3.0
3,4,3.0
0,0,3.0
6,7,2.0
5,8,2.5
3,4,1.5
5,1,2.5
6,1,1.5
5,8,1.5
3,10,2.5
4,4,2.0
7,3,2.5
0,0,1.5
8,3,2.5
5,4,1.5
3,7,2.5
7,10,1.5
9,1,2.5
3,5,2.0
3,4,2.0
3,4,3.0
6,4,2.5
5,4,2.5
0,2,2.5
3,4,3.0
6,4,2.5
0,5,2.5
3,10,3.0
5,4,2.5
5,4,3.0
1,10,2.5
6,8,2.0
3,2,2.0
7,8,3.0
0,10,3.0
5,3,3.0
5,4,3.0
2,4,1.5
7,10,1.5
5,4,2.5
