"Ship_1A:movement","Ship_1A:health","Ship_1A:attackRange","Ship_1A:atkRanged","Ship_2A:movement","Ship_2A:health","Ship_2A:attackRange","Ship_2A:atkRanged","Scout_A:movement","Scout_A:health","Scout_A:attackRange","Scout_A:atkRanged","Heavy_A:movement","Heavy_A:health","Heavy_A:attackRange","Heavy_A:atkRanged","Ship_1B:movement","Ship_1B:health","Ship_1B:attackRange","Ship_1B:atkRanged","Ship_2B:movement","Ship_2B:health","Ship_2B:attackRange","Ship_2B:atkRanged","Scout_B:movement","Scout_B:health","Scout_B:attackRange","Scout_B:atkRanged","Heavy_B:movement","Heavy_B:health","Heavy_B:attackRange","Heavy_B:atkRanged",fitness
7,16,6,10,6,60,5,15,2,77,8,5,8,101,7,79,6,44,8,7,1,24,9,13,7,47,9,13,4,156,3,61,2.9705882352941178
5,35,6,10,4,60,5,13,1,55,9,5,10,101,4,16,6,44,7,7,1,56,11,69,14,5,9,66,4,156,8,28,3.0
1,20,3,45,2,23,10,16,15,25,9,34,5,176,3,70,10,50,8,48,1,47,7,10,15,16,4,67,8,49,6,90,1.7142857142857144
9,20,1,38,3,91,12,8,7,44,3,9,5,22,2,27,8,56,9,6,10,36,6,59,4,21,7,44,1,148,5,67,1.9183673469387754
1,20,3,45,2,23,10,16,15,25,9,34,6,176,3,70,10,50,8,48,1,47,7,10,15,16,4,67,8,49,6,90,1.8900000000000001
9,83,3,49,4,12,9,41,10,27,8,30,5,188,8,25,10,94,7,23,6,39,12,8,3,3,10,61,5,1,2,90,1.838709677419355
5,35,6,10,4,60,9,13,1,55,9,5,10,101,4,16,6,44,7,7,1,56,11,69,14,5,9,66,4,156,8,28,2.0
5,8,7,49,5,12,9,38,15,14,8,10,5,76,8,18,4,94,10,35,6,93,6,8,14,80,10,7,5,1,2,18,1.99
4,35,6,23,4,60,5,13,1,55,5,5,10,13,4,16,6,12,7,7,1,56,11,69,14,29,9,66,4,156,8,28,3.0
9,83,7,38,7,12,8,41,4,27,8,69,5,75,9,97,4,94,10,23,6,24,6,9,7,80,10,7,9,1,2,41,2.0
